"confirmation","gender","borninus","ethnicity",politics,age,zipcode
"cce51bd9380de49a6b3c7cabf722c8","male","yes","caucasian",6,28,10024
"12244786ad002e75ef9e0ea15d353c","male","yes","caucasian",6,26,14213
"63ebed7bd4049b758599cdf5fdb0d0","female","yes","caucasian",7,30,1966
"be5a4974ff1f430273173934a18846","male","yes","caucasian",6,66,46617
"e69af455a39c7a391cb08558c3ed13","male","yes","caucasian",6,57,23454
"702c3157bf29ba99d2744aa44abb96","male","yes","caucasian",6,42,1890
"1d0ae819f819e1c87ee43246b5a81d","male","yes","caucasian",6,54,10025
"5f0dc551e75816e70b70768a119ee7","male","yes","other",7,68,76107
"b92dafb65263c03929b70ec6346526","female","yes","caucasian",6,62,14534
"fdbcc86a2cc825312e91d241c7c7ff","male","yes","caucasian",6,39,18702
"a507fc2bf398dabb4471b173f573d0","female","yes","caucasian",7,25,10027
"c6a74ea8bd3331d1e74daea1e046d6","male","yes","caucasian",7,36,30309
"bdfc267e4e3a222ecb592f9f6c1435","male","yes","caucasian",2,0,27516
"f6211582817d24b2f688b740dadf8b","female","yes","caucasian",7,57,10128
"739c3d8562bedf8f1e06d4a1ea5e23","male","yes","caucasian",7,70,1118
"7f940dcaf4e77001cf456a21cb06ca","male","yes","caucasian",5,0,11358
"65f0e966be3ad387d6e64572f9d6aa","female","yes","caucasian",6,25,11751
"18b24e26b441a427b7e161eb45dab6","male","yes","caucasian",3,28,14607
"122f5cb95eb8a231d0a234845fdb08","male","yes","caucasian",6,23,77059
"f9ccbc63d7488f46a6364e10b483a2","male","yes","caucasian",5,58,19087
"b03012f7a359fd91f267956818f665","male","yes","caucasian",6,40,19130
"d37290f18361337d7e90dfccf9ee6e","male","no","other",7,22,0
"","","","",0,0,0
"3bd06218915b0f06ccfa88374dd101","male","yes","caucasian",3,44,32779
"fb388e89639ed4d24b68e6c6382871","female","yes","caucasian",6,31,15232
"9bf82ae075d059abcb748fc682a1e7","male","no","caucasian",7,27,0
"38b120b0881d1ca32c17699ce4e868","male","no","other",6,24,410210
"4fa38cff3f9cefaccf7bb0793f4de0","male","yes","caucasian",2,0,80215
"1e9859e8973e53ef163872d3be2028","male","no","caucasian",6,26,27705
"f31c4b97f119d5fadd87733a0e932d","male","yes","caucasian",7,45,46204
"e617baa77b235fa6df261d64319eeb","male","yes","caucasian",6,64,68112
"1ae15d2868eb9e29a45a93003daa24","female","yes","caucasian",6,64,28805
"32abb6cccd34e4b31d6ddddd792e2e","male","yes","caucasian",6,40,35801
"155cef85317a3a372896a75791bc10","male","no","caucasian",4,56,0
"81dac312099f0b4f2f0f87a0185a12","male","yes","caucasian",6,0,6063
"2e32d0fab97a4b031b68647310afff","male","yes","caucasian",6,65,22302
"c88c88dc9ea43debc06237e5cee33d","male","yes","hispanic",7,72,77019
"cf7b53c65e5505d80243c1efc4e1da","male","yes","caucasian",5,70,28801
"70781ca961b5839b071814a68d6f07","male","yes","caucasian",6,30,2118
"ef21ef0cd034e48bbfd399b9375a45","male","no","other",6,40,49024
"bc310b0df09f0456def2dd8f5e9e22","female","yes","hispanic",6,52,78676
"e98119d52d429159570f5078821b2e","male","yes","caucasian",6,31,20002
"c123f266170157e65fcedef721e862","female","yes","caucasian",6,29,60202
"12cb4cb7730dfa175dcb31a4c8535d","female","yes","caucasian",4,33,15241
"8c21eb72a96e49e91e7ac5b8168b28","female","yes","caucasian",6,38,7030
"4921a9047fec8602f4fc4ceab8e2e5","female","yes","caucasian",6,28,24060
"7380f74df26ac0d343e7dae611f454","male","yes","caucasian",7,70,81201
"fb6922b463723d59462973f833ee77","male","yes","caucasian",6,21,62221
"29b3c84e14cbd9bc9b65da336a36bc","female","yes","caucasian",7,61,54001
"ea0082cafad7c05c9d50b22592b16b","male","yes","caucasian",6,25,75067
"e4a7f9117c45eb887d1804dae25e8a","female","yes","asian-american",6,21,2134
"59e4ef1a20a39631df8884077cf24b","male","yes","caucasian",5,28,50310
"ba8b0860c03f633a58b5f885373ff4","male","yes","caucasian",3,43,46062
"cf2e65a55385a39af8838a6db13bde","male","yes","caucasian",6,43,15215
"91ec63d0a6b287864f8aaff4ce191c","male","yes","caucasian",6,32,16803
"749ef40f2fd32775657716bff083d9","male","","caucasian",6,61,47374
"1b8aab537319d9d8a11b1ec9709d0c","male","yes","african-american",7,64,10003
"1cf45d924597aa98bd26adf878a976","male","yes","caucasian",1,49,6883
"bfeea75c45d6251ec60900f5b7a1a1","male","yes","caucasian",4,70,6248
"22385bd082da62ee0d5b16210fb27d","male","yes","caucasian",4,17,7960
"","","","",0,0,0
"202373482a5ca00df21ccbc7010add","female","no","caucasian",6,45,0
"c9f8aff8bc7ba6ae8babbe1bd5b7f0","female","yes","caucasian",7,33,20912
"df27698e73ef9ae94bd422b6e581f3","male","yes","caucasian",6,24,20001
"adae9ad306c881794cb2e8a39cdf18","female","yes","caucasian",6,31,46614
"88f74896a57053de757fe298694114","female","yes","caucasian",7,29,19147
"a744fe51a5b7c8b2103dd409afc73c","male","yes","caucasian",4,70,60625
"382528258f30bf653fc4a2506d0c03","male","yes","caucasian",6,35,48197
"a744fe51a5b7c8b2103dd409afc73c","male","yes","caucasian",4,70,60625
"ca6a5440892f059134c8d65af79194","female","yes","caucasian",7,33,2136
"a73ba2f2ed2ef69978019bb9a09d32","male","yes","caucasian",6,53,13224
"1b8aab537319d9d8a11b1ec9709d0c","male","yes","african-american",7,64,10003
"d46c42a7d9c058cd22540ca9d286cf","female","yes","african-american",7,63,10014
"a999c9fe1147a66dd6b25dc1165c56","female","yes","caucasian",5,54,48174
"9697a43495d594371bb01a2fc024e6","female","yes","caucasian",7,63,1945
"513aff6ae519d0d14f87a3998f1a6e","male","yes","caucasian",6,29,60661
"5de6f7fe086650f9da82c53eea15cc","female","yes","caucasian",6,24,10028
"a11da0992f6ed05ff554fa649711a4","male","yes","caucasian",2,50,22205
"75acad99b659eb2baa0895817e0e28","female","no","other",4,23,187
"e0f246730e8120596d2ddbcab7805f","male","yes","caucasian",5,25,95608
"32233d6736235c7e7784f843089854","male","yes","caucasian",5,57,10003
"e272e6d79c03b07ad79b044d05cfd1","male","yes","caucasian",5,57,60201
"2a5d117cf8ac25bc67d01670bc5085","male","no","caucasian",6,30,0
"733e6174bc88b7e4be35bb243fdda9","male","yes","caucasian",6,36,54601
"4bfad5286e6e89f5c4d905234639da","male","yes","hispanic",6,27,10036
"3a9c31ec89c13e878d3a3044ab000b","male","","caucasian",6,55,0
"91c6b1c9e958d4a74a349cbfdbb022","female","yes","african-american",5,37,43209
"bce2a62da12570d5a179b452af9adf","male","yes","caucasian",6,53,12801
"fc415d8cbb39cffd027d6f4e7dedb3","male","no","caucasian",7,68,0
"4c96d0c5b6f94426cb5203ad09ed69","male","yes","asian-american",5,0,94125
"22b19b3a7c783e552d476c7fac5652","male","yes","caucasian",7,0,55419
"e4528b9d6b9c8f22d424d248e58885","male","yes","caucasian",5,31,20009
"a6722c70ff0f18289f6b09de138e1a","female","no","caucasian",7,24,22201
"91b8f653862f62a4f989f9d37b6910","male","yes","caucasian",7,51,65203
"abc46b04b6462eb7d9b28ad995d82c","male","yes","caucasian",4,34,10014
"a03b8309313b3291d4febba52f276d","male","no","caucasian",3,50,61801
"301bab01df0996808efcf96fee2337","female","yes","caucasian",6,57,87048
"604420e21291182785222608be13f5","male","yes","caucasian",6,41,20902
"8d04b73d632254c6526e182cb49c6b","female","no","caucasian",7,34,0
"85e4c8b742d87ebd9a3a6a0a672281","male","yes","caucasian",6,38,11789
"938ea50c6114e685fffa8f29100038","female","yes","caucasian",7,33,5048
"1b7f904005352012dfc1c9b3419a20","female","yes","caucasian",7,69,21209
"9088ca0b0c20f18384e8f38266f956","female","yes","caucasian",6,24,22201
"703342d2ce19b9f653f21a9ce209cf","male","yes","caucasian",1,0,55438
"b897fea7068a3bfad9cec1c600b5c3","male","yes","caucasian",7,19,59715
"2a379b381c6c011a5665d09c4cd0b4","male","yes","caucasian",7,66,53211
"4990ced138901167a52ee921d94532","male","no","asian-american",7,53,94702
"58465046d0ff9d5142ab187d408d06","male","no","caucasian",5,25,90210
"807086309d2c244a0dd65faae54f2c","male","no","caucasian",6,34,2138
"08fc72ac38d7f004bf596624f0ef89","male","yes","caucasian",6,33,11782
"3f66c3ed0f39d0cf2590d8f941502f","female","yes","caucasian",7,33,11372
"9a7e32d5faa38ac4e4693b3b29e4f0","male","yes","caucasian",6,45,16803
"b897fea7068a3bfad9cec1c600b5c3","male","yes","caucasian",7,19,59715
"f69af94f7b8e3ebee8c33116d1703d","male","yes","caucasian",6,34,32803
"dc3bb491cdf4a4eb56da3621a40564","female","yes","caucasian",7,25,19115
"d9450cc3e516890cfa7a75d462bd87","male","yes","african-american",4,26,21703
"bc36c40779b8d97549bfc722568a80","male","no","caucasian",2,42,0
"29d43516d864ba4a10af5282ff3a4b","male","yes","caucasian",7,20,10533
"95d331191a32fc65f37f12a7ebef3b","female","yes","caucasian",2,52,92105
"7257fbd92613e33a1d6ea36fec7b2e","male","yes","caucasian",6,54,70115
"","","","",0,0,0
"c9e5cd39fd87a2d773b4c602f63b81","female","no","hispanic",6,34,20005
"c6e24d99619f167375b39567153833","male","yes","caucasian",7,33,20005
"","","","",0,0,0
"3056da43b760f2c6793e8fda471f7c","male","yes","caucasian",3,0,0
"cd49e5be3f2e48c39f57eb4096c2db","male","no","caucasian",3,36,80302
"09676f394d8be21c645928b959da41","female","yes","caucasian",7,72,5843
"fedc66e016e8a20eb6a7b402098f2c","male","yes","caucasian",2,59,7004
"49fa94fd3b8cc72dc675fb230e1ce6","male","no","asian-american",5,31,91789
"662699647d6a8d4c14f95250c79b87","male","yes","caucasian",6,35,17601
"8b7ffa61154d7a7a6067b67a093001","male","yes","caucasian",3,40,98012
"f47a0d20a4aabd37ab5e5fd116bce7","male","yes","caucasian",6,36,11204
"b5e1def7ffa72456e9cac67c05e3b5","female","no","caucasian",7,31,0
"015f1dad1c06ef7260322e6da58a38","male","yes","caucasian",7,42,12508
"b82dead29699a7834b7a8d85710c44","male","yes","caucasian",3,39,63131
"43b0b01cd953596959de35b77d9937","female","yes","caucasian",1,43,75645
"edaac24b449b482fbf1f0b3757b9e3","male","yes","caucasian",6,33,21217
"d7af720dc2ab65b0244de60388ec57","male","yes","caucasian",3,39,6082
"bf31637e9d8e5cf6664fc7c1b2f71d","male","yes","caucasian",2,22,12590
"264d1a2826a5f050309804a6f1dec4","male","yes","other",5,71,85614
"789c7fba88e28662a1e89a994a10ea","female","yes","caucasian",6,42,10020
"6677448c50e62730cf578ea38ec070","male","yes","caucasian",7,36,8536
"28d5df05d38616464ac06139d94425","male","no","other",7,39,0
"e029da59dbcbe5ea380ac0b9ec8e7e","male","no","caucasian",2,31,7026
"98b2b28ca127040e18824cb3650e58","male","yes","caucasian",4,37,33703
"2df60e8d05279098ed334ea5d0b5d1","female","yes","caucasian",7,63,11050
"b3df68bdf3d44924c25823e8956d70","male","yes","caucasian",6,36,98021
"c418a7ced594aed72a90ef10b18acd","male","yes","caucasian",7,59,94706
"54f65f3b958008d2fa2971a0c782f2","male","yes","caucasian",2,33,10954
"144034ed27a492d415cd8a9e146fc5","male","yes","caucasian",6,57,78723
"87bcd8da637df5bc86950c7371863a","male","yes","caucasian",6,40,48331
"db647e588c25e3cb1b6674f95f9db4","female","yes","caucasian",6,29,94606
"ad9bd8fcdead1d7c8066fb9029a4e1","male","no","other",6,40,90004
"a6bccce8ac016f61a60949472530e4","male","no","caucasian",7,27,94122
"e268282c984129f58e0a25017b5748","male","yes","caucasian",6,22,44883
"0a80371090c2310557ef5f5cc38962","female","yes","caucasian",6,30,20009
"","","","",0,0,0
"784e62ab613f7b3408bb6df7c16f56","male","yes","caucasian",7,31,19137
"48b5822663eadc4b4156c42a69edc5","male","yes","caucasian",6,55,80212
"2eaa7786d6dc5a07cc671fae32863e","male","no","caucasian",7,51,44122
"72386ee5d7274575fb8842ecb50d97","male","yes","caucasian",6,60,28722
"aeb2d0d7b8839902719a0bbcdd927b","male","yes","caucasian",4,31,11217
"4d24e4ee8d931a1ca17e6af823b463","male","yes","caucasian",7,26,97214
"3e1c4885defc71225dda00a1589348","male","yes","caucasian",7,47,75025
"14e9dd7ce9118bb689b0d66b2d1f60","male","yes","asian-american",2,40,11235
"3be646356952de759143f7999cab41","male","yes","",4,33,19046
"7b099175586059cae086abb353c457","female","no","african-american",7,0,63132
"60f2ad3e98834c0ed35b3921fddd9f","female","yes","caucasian",5,38,2482
"319baf850371ada7bd5b66bae0dad8","male","yes","caucasian",2,56,59808
"3f6e71c4f644eb597d86eefef9173a","male","yes","caucasian",2,26,55436
"49a267a0c130b77471673beedeaf74","male","yes","caucasian",1,33,10528
"89d46c5694a10ebef88d09b051c165","female","yes","caucasian",7,43,17837
"6c0d1cf630c7588a12b0c55dcbdb4b","female","yes","caucasian",7,31,7042
"d0fb75b5767b562e4f62413341fac0","male","no","other",5,28,0
"244eeb96d3fd7029b8de61f54ff249","female","yes","caucasian",6,24,38506
"2ba370ce7615480d9254d47ea71941","female","yes","caucasian",6,36,17837
"a8b94ab9b003c0b1ec4c7c6ca03f3a","female","yes","caucasian",6,18,35010
"244eeb96d3fd7029b8de61f54ff249","female","yes","caucasian",6,24,38506
"3b880060a0bd451a69696627c5260c","male","yes","caucasian",2,29,6513
"ea8e294d0f99e82fb4032532cb4952","male","yes","caucasian",6,35,19146
"404c98fdf2f390e7bd09442b00b55f","female","yes","caucasian",7,41,11217
"117496a3c097b4ce0972d100651fde","male","yes","caucasian",6,28,22202
"fd0dd1d5c49fa7c7c1a34413fb35eb","male","yes","caucasian",7,40,59601
"4c7a9bcd2ad754be34bc837ade34e2","male","yes","caucasian",6,23,20005
"fde607aec88f408c96d2df47da117d","male","yes","caucasian",5,25,2360
"fd2f25032526ea9cf5287c03fade90","male","yes","caucasian",6,21,3865
"","","","",0,0,0
"ab54a862c36f5b3164f10a76a8f5c0","male","yes","caucasian",7,24,94132
"d84ff9a122de031a56277bf42470ca","female","no","caucasian",6,34,48837
"","","","",0,0,0
"d5c4e7411cf6a51d5d8983ae5e58bf","male","yes","caucasian",6,44,10003
"dc18ebd198ef1b999561e6d405e2f6","male","yes","other",7,23,60625
"110972fd10a8110e33b11908755d0a","male","yes","caucasian",7,41,20017
"cfba958a06d94105a2a93f2c0f6215","male","yes","caucasian",7,33,94618
"110972fd10a8110e33b11908755d0a","male","yes","caucasian",7,41,20017
"12fcd8392545fae17471e76db59ede","male","no","caucasian",6,47,21210
"f27cbef479fec2efa41c9dce045e25","female","yes","caucasian",7,75,2446
"389f9f91cc811973899ecd000dd281","male","yes","caucasian",6,50,10014
"92a8053637363d7b1ea21507846c1e","male","yes","caucasian",3,20,80521
"059e56354d461ee944f2ded6a7f52b","male","no","african-american",3,25,227
"926428562ea74fc2e280e38475ac97","female","yes","caucasian",3,31,29577
"843271d45f97772725b1946af09f33","male","yes","caucasian",7,31,14607
"c27a3d6b5dfd6174db7b05de0ef386","male","yes","caucasian",2,35,35811
"e7f0f793d19abc5cf822b532251202","male","no","hispanic",6,20,53711
"ad6797e7a4f2a9a6b7f14f9eb5b64a","female","yes","caucasian",6,37,21224
"1991577bef42bcef43e7263ba6720f","male","yes","caucasian",6,42,1510
"960e5030b577801bd2db0719248825","female","no","caucasian",6,67,77479
"6430a214b16011212f3541d4c7b8ed","male","yes","caucasian",1,27,78542
"7be58b4775ae81fd2d08b149664dc2","male","yes","caucasian",6,29,21130
"e1a31ed242813161feca8755f65e67","male","yes","caucasian",4,25,10003
"0badfcf9fbd63f0c1bb7f23fe26467","male","yes","caucasian",5,23,2115
"2632c586d394d1d5b154f64c268a79","female","yes","caucasian",7,24,10035
"30c588473232e7cfff39977a136ce7","male","yes","caucasian",7,54,8540
"d1cf3992bd85e43a3b3c3fdb98c042","male","","caucasian",7,30,21224
"9ea6eef27a763712b1ab1542c60f0e","female","yes","",6,60,12601
"bc4f4b4bb8e7fe65e0e4eb5d15276c","male","no","other",7,32,10019
"f6778671ac75fcfde1cdc28ce997e8","male","no","caucasian",6,19,0
"0ab51dacd5bf995b0762b7cacabbc7","male","no","hispanic",6,45,0
"2dc7f79558a7a574bdea3c0793d864","female","yes","caucasian",7,62,28387
"34c16527418187dd972715c89479db","male","yes","caucasian",5,31,84321
"0f73778d36bcc737b5f6b3236bfd30","male","no","caucasian",5,0,0
"3a2a6bd9aa2b6709e9e43a9c8fe0e8","male","","",2,54,22554
